seed,dtype,point,quantized_point,order,observed,reference,reference_magnitude,absolute_error,scaled_error
20260918,float32,-0.9,-0.8999999761581421,0,-0.10020292550325394,-0.10020292246788072,0.10020292246788072,3.035373216664361e-09,3.035373216664361e-09
20260918,float32,-0.9,-0.8999999761581421,1,-0.07974119484424591,-0.07974117351994066,0.07974117351994066,2.1324305252146125e-08,2.1324305252146125e-08
20260918,float32,-0.9,-0.8999999761581421,2,-0.011504863388836384,-0.011504860600642325,0.011504860600642325,2.7881940593138532e-09,2.7881940593138532e-09
20260918,float32,-0.9,-0.8999999761581421,3,0.1541491150856018,0.15414910713693455,0.15414910713693455,7.948667252177799e-09,7.948667252177799e-09
20260918,float32,-0.9,-0.8999999761581421,4,0.1823524683713913,0.18235246584623785,0.18235246584623785,2.5251534474524107e-09,2.5251534474524107e-09
20260918,float32,-0.9,-0.8999999761581421,5,-0.6719749569892883,-0.6719748923335406,0.6719748923335406,6.465574775571525e-08,6.465574775571525e-08
20260918,float32,-0.9,-0.8999999761581421,6,-2.008999824523926,-2.0090001694623565,2.0090001694623565,3.4493843070748653e-07,1.7169656625753202e-07
20260918,float32,-0.9,-0.8999999761581421,7,5.952256202697754,5.952254233195091,5.952254233195091,1.969502663179412e-06,3.308834915343005e-07
20260918,float32,-0.9,-0.8999999761581421,8,40.40134048461914,40.401357815227904,40.401357815227904,1.7330608763188593e-05,4.2896104736005717e-07
20260918,float32,-0.9,-0.8999999761581421,9,-47.611305236816406,-47.611269215823086,47.611269215823086,3.602099332056241e-05,7.565644418609876e-07
20260918,float32,-0.9,-0.8999999761581421,10,-1261.9927978515625,-1261.9932818401835,1261.9932818401835,0.0004839886209992983,3.835112499914161e-07
20260918,float32,-0.5,-0.5,0,-0.13124725222587585,-0.13124726408421256,0.13124726408421256,1.1858336701475736e-08,1.1858336701475736e-08
20260918,float32,-0.5,-0.5,1,-0.0709090307354927,-0.07090902932315145,0.07090902932315145,1.412341257833738e-09,1.412341257833738e-09
20260918,float32,-0.5,-0.5,2,0.05613340064883232,0.05613341430824934,0.05613341430824934,1.3659417021083531e-08,1.3659417021083531e-08
20260918,float32,-0.5,-0.5,3,0.16100803017616272,0.16100801881972931,0.16100801881972931,1.1356433404774435e-08,1.1356433404774435e-08
20260918,float32,-0.5,-0.5,4,-0.15189962089061737,-0.15189962136271978,0.15189962136271978,4.721024127185558e-10,4.721024127185558e-10
20260918,float32,-0.5,-0.5,5,-0.7256932258605957,-0.7256930535313484,0.7256930535313484,1.7232924731658272e-07,1.7232924731658272e-07
20260918,float32,-0.5,-0.5,6,1.8227230310440063,1.8227230031856947,1.8227230031856947,2.7858311657524837e-08,1.5283897558123207e-08
20260918,float32,-0.5,-0.5,7,6.680759906768799,6.680757913966439,6.680757913966439,1.9928023595738864e-06,2.982898625031509e-07
20260918,float32,-0.5,-0.5,8,-48.03302764892578,-48.033021062071725,48.033021062071725,6.586854055967706e-06,1.3713178788932928e-07
20260918,float32,-0.5,-0.5,9,-171.43243408203125,-171.43236291789626,171.43236291789626,7.116413499375085e-05,4.1511493969101587e-07
20260918,float32,-0.5,-0.5,10,1645.04345703125,1645.0426723926494,1645.0426723926494,0.0007846386006349348,4.769715787941896e-07
20260918,float32,0.0,0.0,0,-0.15687048435211182,-0.15687049694411243,0.15687049694411243,1.2592000608879772e-08,1.2592000608879772e-08
20260918,float32,0.0,0.0,1,-0.02723231539130211,-0.027232319557908002,0.027232319557908002,4.166605893640707e-09,4.166605893640707e-09
