seed,dtype,point,quantized_point,order,observed,reference,reference_decimal,reference_magnitude,absolute_error,scaled_error
20260918,float32,-0.9,-0.8999999761581421,0,-0.10020292550325394,-0.10020292246788072,-0.1002029224678807183914371106380407458768835913450602016200290140647770600002612919768837290086839616,0.10020292246788072,3.035373218376141e-09,3.035373218376141e-09
20260918,float32,-0.9,-0.8999999761581421,1,-0.07974119484424591,-0.07974117351994066,-0.0797411735199406639655066268154539689744249482394104126400268692471803864932826995986946028246423204,0.07974117351994066,2.1324305246679024e-08,2.1324305246679024e-08
20260918,float32,-0.9,-0.8999999761581421,2,-0.011504863388836384,-0.011504860600642325,-0.0115048606006423245929697252988209742358885096281334664287929943652483731597152272144081435630950518,0.011504860600642325,2.7881940592266105e-09,2.7881940592266105e-09
20260918,float32,-0.9,-0.8999999761581421,3,0.1541491150856018,0.15414910713693455,0.1541491071369345522635652574009713210793432443532000694980648383648151302684321461144038803893003161,0.15414910713693455,7.94866725437706e-09,7.94866725437706e-09
20260918,float32,-0.9,-0.8999999761581421,4,0.1823524683713913,0.18235246584623785,0.1823524658462378611004941660728989156358347724569572280346105362646496654258229179094255499581309451,0.18235246584623785,2.5251534352862246e-09,2.5251534352862246e-09
20260918,float32,-0.9,-0.8999999761581421,5,-0.6719749569892883,-0.6719748923335406,-0.6719748923335406129363913747721225423048725318620380068837631943934428218277660558195857272985331397,0.6719748923335406,6.465574771714173e-08,6.465574771714173e-08
20260918,float32,-0.9,-0.8999999761581421,6,-2.008999824523926,-2.0090001694623565,-2.009000169462356392540880786043914965982187366879923949521094301109498644865623293731404306741912638,2.0090001694623565,3.449384306112909e-07,1.7169656620964967e-07
20260918,float32,-0.9,-0.8999999761581421,7,5.952256202697754,5.952254233195091,5.952254233195090558720777338070497887355352333378936675699457936977372322793622600758898514560421146,5.952254233195091,1.969502663347529e-06,3.308834915625448e-07
20260918,float32,-0.9,-0.8999999761581421,8,40.40134048461914,40.401357815227904,40.40135781522790730698015065228837946307620572388748092402449241056097560357318699057604781502903615,40.401357815227904,1.733060876668198e-05,4.289610474465242e-07
20260918,float32,-0.9,-0.8999999761581421,9,-47.611305236816406,-47.611269215823086,-47.61126921582308352665662617384251832823143636822962705575001073096923195743598097590668327680283124,47.611269215823086,3.602099332272334e-05,7.565644419063745e-07
20260918,float32,-0.9,-0.8999999761581421,10,-1261.9927978515625,-1261.9932818401835,-1261.99328184018348121908248046860486120175722418557742069303337563205540478148807954491475720964892,1261.9932818401835,0.00048398862098121906,3.835112499770902e-07
20260918,float32,-0.5,-0.5,0,-0.13124725222587585,-0.13124726408421256,-0.1312472640842125509535720366785111713900390939648857865259131443028873317297704964684290467060288014,0.13124726408421256,1.1858336696461385e-08,1.1858336696461385e-08
20260918,float32,-0.5,-0.5,1,-0.0709090307354927,-0.07090902932315145,-0.07090902932315144733247378361916233861458761321605545460897365606411037190523571502531363162298964943,0.07090902932315145,1.4123412589663544e-09,1.4123412589663544e-09
20260918,float32,-0.5,-0.5,2,0.05613340064883232,0.05613341430824934,0.05613341430824934247732928546337228042292563480642092032620604729897819694142483839138040018357892746,0.05613341430824934,1.3659417021310337e-08,1.3659417021310337e-08
20260918,float32,-0.5,-0.5,3,0.16100803017616272,0.16100801881972931,0.161008018819729308551671574230457875033202388858340825838724078625710213167197516489245688574540053,0.16100801881972931,1.1356433411174891e-08,1.1356433411174891e-08
20260918,float32,-0.5,-0.5,4,-0.15189962089061737,-0.15189962136271978,-0.1518996213627197862752965554642744146262347242225254278692807905291865748916892729987568090474240412,0.15189962136271978,4.721024156698278e-10,4.721024156698278e-10
20260918,float32,-0.5,-0.5,5,-0.7256932258605957,-0.7256930535313484,-0.7256930535313483875822755846206239806420054230312229758986993803872903080580914714647763445104264611,0.7256930535313484,1.7232924731554273e-07,1.7232924731554273e-07
20260918,float32,-0.5,-0.5,6,1.8227230310440063,1.8227230031856947,1.822723003185694683621772827656484802418674304829022352004799080613627562552673824261970133513137874,1.8227230031856947,2.7858311664034477e-08,1.528389756169459e-08
20260918,float32,-0.5,-0.5,7,6.680759906768799,6.680757913966439,6.680757913966439614143826410969948084721006950804056203638804928697710764836381836495086862412054528,6.680757913966439,1.9928023592139813e-06,2.9828986244927896e-07
20260918,float32,-0.5,-0.5,8,-48.03302764892578,-48.033021062071725,-48.03302106207172866264310854722384215038006376135188253795159654368792667039307478482270763178667994,48.033021062071725,6.5868540525873565e-06,1.3713178781895376e-07
20260918,float32,-0.5,-0.5,9,-171.43243408203125,-171.43236291789626,-171.4323629178962515997210228438437439554638121978043900377492812726990576127520061812934280905651827,171.43236291789626,7.116413499840027e-05,4.1511493971813696e-07
20260918,float32,-0.5,-0.5,10,1645.04345703125,1645.0426723926494,1645.042672392649391872466811811929372863003355942130869077514701332849762243469529825441837503154819,1645.0426723926494,0.0007846386006081275,4.769715787778939e-07
20260918,float32,0.0,0.0,0,-0.15687048435211182,-0.15687049694411243,-0.1568704969441124168666090384845679540218111706984502313946437926386361363005050314719243643575055197,0.15687049694411243,1.2592000600460359e-08,1.2592000600460359e-08
20260918,float32,0.0,0.0,1,-0.02723231539130211,-0.027232319557908002,-0.02723231955790800369166088498763252552074656253846749958422520454748013801835389080187246628182203702,0.027232319557908002,4.1666058949270124e-09,4.1666058949270124e-09
20260918,float32,0.0,0.0,2,0.10788620263338089,0.10788621677496857,0.1078862167749685700184174368481190649480089471935152892423551896915272564213532234600806359021797754,0.10788621677496857,1.4141587680125839e-08,1.4141587680125839e-08
20260918,float32,0.0,0.0,3,0.03630202263593674,0.036302033571980495,0.03630203357198049658211750367651150609394149640384907914216660430208627413656446612573356208267150853,0.036302033571980495,1.0936043759521571e-08,1.0936043759521571e-08
20260918,float32,0.0,0.0,4,-0.2784211337566376,-0.27842112714369727,-0.2784211271436972645496598615377342351183377695697684821922078048870476603258489030500934953057726964,0.27842112714369727,6.612940308692528e-09,6.612940308692528e-09
20260918,float32,0.0,0.0,5,0.03357788175344467,0.03357788686043652,0.03357788686043652508043859574383115759485648370339253417156297766449992150311373755711134406773188504,0.03357788686043652,5.1069918534495795e-09,5.1069918534495795e-09
20260918,float32,0.0,0.0,6,0.02402605302631855,0.024025980494790343,0.02402598049479034203454171240516047600082025732315026783795355853700250677460492985480957788710385793,0.024025980494790343,7.253152820807532e-08,7.253152820807532e-08
20260918,float32,0.0,0.0,7,-5.820672512054443,-5.820673684042634,-5.820673684042634174902396497029099349194258536398457181398771471602045474742098995587288678068647482,5.820673684042634,1.1719881908155275e-06,2.013492345445392e-07
